@timestamp,method,req_path,domain,rsp_code,rsp_code_details,src_ip,total_duration_seconds,rsp_size,country,response_flags
2026-03-15T01:01:17.501Z,GET,/,www.qatarenergylng.qa,301,via_upstream,213.219.39.144,,1781,GB,
2026-03-15T01:01:16.018Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,153.92.127.165,,111042,NL,
2026-03-15T01:01:13.841Z,GET,/,www.qatarenergylng.qa,301,via_upstream,185.192.44.53,,1780,BE,
2026-03-15T01:01:13.488Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,213.219.39.144,,110970,GB,
2026-03-15T01:01:12.194Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,162.223.228.142,,110993,CA,
2026-03-15T01:01:11.416Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,185.166.215.210,,111124,ES,
2026-03-15T01:01:11.398Z,GET,/,www.qatarenergylng.qa,301,via_upstream,64.235.50.24,,1780,US,
2026-03-15T01:01:11.294Z,GET,/,www.qatarenergylng.qa,301,via_upstream,5.134.119.46,,1780,ES,
2026-03-15T01:01:10.885Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,185.192.44.53,,111011,BE,
2026-03-15T01:01:09.395Z,GET,/,www.qatarenergylng.qa,301,via_upstream,185.166.215.210,,1780,ES,
2026-03-15T01:01:09.368Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,64.235.50.24,,111018,US,
2026-03-15T01:01:09.260Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,5.134.119.46,,110958,ES,
2026-03-15T01:01:09.028Z,GET,/,www.qatarenergylng.qa,301,via_upstream,153.92.127.165,,1781,NL,
2026-03-15T01:00:51.873Z,GET,/english/Media/News/Article/ArticleID/65/QATARGAS LAUNCHES “WARM THEIR HEARTS” CAMPAIGN SUPPORTING ORPHANS IN KOREA,www.qatarenergylng.qa,200,via_upstream,198.244.242.174,,39799,GB,
2026-03-15T01:00:26.012Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,212.77.203.83,,111463,QA,
2026-03-15T01:00:08.967Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,80.76.167.222,,111454,QA,
2026-03-15T00:59:57.142Z,GET,/english/MediaCenter/pageindex987/14/Qatargas-delivers-first-Q-Max-cargo-to-Thailand-under-long-term-Sale-and-Purchase-Agreement,www.qatarenergylng.qa,200,via_upstream,114.119.145.22,,178070,SG,
